@relation activity_recognition_labeled

@attribute "X8" numeric
@attribute "Z3" numeric
@attribute "ZAVG" numeric
@attribute "XPEAK" numeric
@attribute "ZPEAK" numeric
@attribute "YSTANDDEV" numeric
@attribute class{ "Sitting" , "Active" }

@data
0.13,0.12,1.76,2075,1550,8.17,?
0.12,0.09,1.43,1525,1233.33,8.19,?
0.05,0.09,2.39,1766.67,1780,8.19,?
0.14,0.1,0.49,2525,1380,4.95,?
0.08,0.1,0.51,1075,1775,4.64,?
0.07,0.09,0.31,3125,2675,4.95,?
0.06,0.12,1.19,4900,1825,3.2,?
0.12,0.1,1.4,800,2983.33,3.35,?
0.15,0.1,1.38,1283.33,1533.33,3.4,?
0,0.01,-0.01,?,?,9.34,?
0.1,0.08,2.69,175,175,3.6,?
0.08,0.11,2.04,1200,1460,3.74,?
0.12,0.12,2.2,2016.67,2700,3.7,?
0.01,0.01,0.08,?,?,9.96,?
0.13,0.11,2.38,1550,3900,3.4,?
0.07,0.11,2.39,3675,3525,3.62,?
0.06,0.06,1.54,1350,1833.33,4.86,?
0.14,0.09,2.32,562.5,1562.5,3.82,?
0.05,0.11,2.3,2000,4075,3.84,?
0.04,0.06,1.25,1925,2175,4.96,?
0.14,0.14,2.23,2500,1640,3.36,?
0.12,0.08,2.41,1216.67,3450,3.73,?
0.02,0.07,1.97,733.33,1916.67,4.28,?
0.15,0.11,2.58,1300,2075,3.95,?
0.07,0.09,2.58,3066.67,1660,4.09,?
0.06,0.05,1.74,1725,1500,4.59,?
0.17,0.09,2.42,2925,1475,3.78,?
0.09,0.11,2.59,1675,1100,3.9,?
0.02,0.06,1.69,800,1450,5.04,?
0.11,0.11,2.42,1675,1387.5,4.05,?
0.11,0.1,2.03,2266.67,1283.33,4.15,?
0.04,0.06,1.33,425,600,6.15,?
0.07,0.11,1.69,1575,3075,7.69,?
0.11,0.1,1.52,1633.33,2700,7.58,?
0.1,0.07,1.42,1775,1875,8.2,?
0.12,0.1,0.21,2533.33,1600,5.02,?
0.11,0.13,0.21,3300,1650,4.69,?
0.06,0.06,0.53,1337.5,1320,4.96,?
0.06,0.1,0.69,1800,1600,7.73,?
0.1,0.11,0.76,2975,1700,7.8,?
0.16,0.1,0.72,1750,1683.33,7.9,?
0.11,0.06,0.22,1350,4000,8.49,?
0.08,0.07,0.96,2950,2075,7.63,?
0.09,0.11,0.91,1616.67,4250,7.96,?
0.12,0.12,0.68,2262.5,4225,7.85,?
0.11,0.08,0.95,900,4425,7.93,?
0.08,0.16,0.44,875,1187.5,7.54,?
0.08,0.08,-0.06,1100,1500,3.2,?
0.1,0.12,-0.06,2183.33,2516.67,3.35,?
0.13,0.1,-0.28,2325,725,3.52,?
